claim_id,document_type,status
CLM-0001,formulario de reclamo,completo
CLM-0001,cedula,completo
CLM-0001,fotos del siniestro,completo
CLM-0001,factura/proforma,completo
CLM-0001,informe tecnico,completo
CLM-0002,formulario de reclamo,completo
CLM-0002,cedula,completo
CLM-0002,fotos del siniestro,completo
CLM-0002,factura/proforma,completo
CLM-0002,informe tecnico,completo
CLM-0003,formulario de reclamo,completo
CLM-0003,cedula,completo
CLM-0003,fotos del siniestro,completo
CLM-0003,factura/proforma,completo
CLM-0003,informe tecnico,completo
CLM-0004,formulario de reclamo,completo
CLM-0004,cedula,completo
CLM-0004,fotos del siniestro,completo
CLM-0004,factura/proforma,completo
CLM-0004,informe tecnico,completo
CLM-0005,formulario de reclamo,completo
CLM-0005,cedula,completo
CLM-0005,fotos del siniestro,completo
CLM-0005,factura/proforma,completo
CLM-0005,informe tecnico,completo
CLM-0006,formulario de reclamo,completo
CLM-0006,cedula,completo
CLM-0006,fotos del siniestro,completo
CLM-0006,factura/proforma,completo
CLM-0006,informe tecnico,completo
CLM-0007,formulario de reclamo,completo
CLM-0007,cedula,completo
CLM-0007,fotos del siniestro,completo
CLM-0007,factura/proforma,completo
CLM-0007,informe tecnico,completo
CLM-0008,formulario de reclamo,completo
CLM-0008,cedula,completo
CLM-0008,fotos del siniestro,completo
CLM-0008,factura/proforma,completo
CLM-0008,informe tecnico,completo
CLM-0009,formulario de reclamo,completo
CLM-0009,cedula,completo
CLM-0009,fotos del siniestro,completo
CLM-0009,factura/proforma,completo
CLM-0009,informe tecnico,completo
CLM-0010,formulario de reclamo,completo
CLM-0010,cedula,completo
CLM-0010,fotos del siniestro,completo
CLM-0010,factura/proforma,completo
CLM-0010,informe tecnico,completo
CLM-0011,formulario de reclamo,completo
CLM-0011,cedula,completo
CLM-0011,fotos del siniestro,completo
CLM-0011,factura/proforma,completo
CLM-0011,informe tecnico,completo
CLM-0012,formulario de reclamo,completo
CLM-0012,cedula,completo
CLM-0012,fotos del siniestro,completo
CLM-0012,factura/proforma,completo
CLM-0012,informe tecnico,completo
CLM-0013,formulario de reclamo,completo
CLM-0013,cedula,completo
CLM-0013,fotos del siniestro,completo
CLM-0013,factura/proforma,completo
CLM-0013,informe tecnico,completo
CLM-0014,formulario de reclamo,completo
CLM-0014,cedula,completo
CLM-0014,fotos del siniestro,completo
CLM-0014,factura/proforma,completo
CLM-0014,informe tecnico,completo
