policy_id,customer_id,line,policy_start_date,policy_end_date,insured_amount,premium_status
POL-0001,CUST-004,Salud,2026-01-13,2027-01-13,40000,pendiente
POL-0002,CUST-086,Salud,2025-05-17,2026-05-17,12000,al dia
POL-0003,CUST-049,Vehiculos,2025-08-29,2026-08-29,18000,al dia
POL-0004,CUST-059,Hogar,2025-06-06,2026-06-06,18000,al dia
POL-0005,CUST-004,Salud,2025-07-24,2026-07-24,40000,al dia
POL-0006,CUST-009,Hogar,2025-06-29,2026-06-29,75000,al dia
POL-0007,CUST-004,Vehiculos,2025-05-14,2026-05-14,12000,al dia
POL-0008,CUST-005,Vehiculos,2025-11-02,2026-11-02,75000,al dia
POL-0009,CUST-041,Vida,2025-11-07,2026-11-07,8000,pendiente
POL-0010,CUST-074,Salud,2025-05-11,2026-05-11,5000,pendiente
POL-0011,CUST-001,Empresarial,2025-10-03,2026-10-03,18000,al dia
POL-0012,CUST-056,Vehiculos,2025-12-07,2026-12-07,40000,al dia
POL-0013,CUST-085,Vehiculos,2026-01-04,2027-01-04,25000,al dia
POL-0014,CUST-086,Vida,2025-06-17,2026-06-17,75000,al dia
POL-0015,CUST-071,Salud,2025-04-09,2026-04-09,75000,pendiente
POL-0016,CUST-087,Salud,2025-11-12,2026-11-12,25000,pendiente
POL-0017,CUST-071,Vehiculos,2025-06-05,2026-06-05,25000,al dia
POL-0018,CUST-056,Empresarial,2025-11-07,2026-11-07,40000,pendiente
POL-0019,CUST-057,Vida,2025-12-12,2026-12-12,18000,pendiente
POL-0020,CUST-022,Vehiculos,2025-05-26,2026-05-26,40000,al dia
POL-0021,CUST-031,Hogar,2025-04-26,2026-04-26,18000,al dia
POL-0022,CUST-004,Vehiculos,2025-05-06,2026-05-06,120000,al dia
POL-0023,CUST-059,Vida,2025-11-19,2026-11-19,18000,pendiente
POL-0024,CUST-064,Vida,2025-05-05,2026-05-05,12000,al dia
POL-0025,CUST-014,Vida,2025-04-23,2026-04-23,12000,pendiente
POL-0026,CUST-007,Empresarial,2025-05-08,2026-05-08,8000,pendiente
POL-0027,CUST-018,Vida,2025-12-08,2026-12-08,40000,pendiente
POL-0028,CUST-079,Empresarial,2025-08-07,2026-08-07,120000,al dia
POL-0029,CUST-061,Vida,2025-05-13,2026-05-13,18000,al dia
POL-0030,CUST-067,Vida,2025-11-17,2026-11-17,18000,al dia
POL-0031,CUST-057,Vehiculos,2026-01-01,2027-01-01,25000,al dia
POL-0032,CUST-035,Hogar,2025-06-13,2026-06-13,8000,al dia
POL-0033,CUST-020,Salud,2025-07-16,2026-07-16,12000,al dia
POL-0034,CUST-009,Vida,2025-07-28,2026-07-28,40000,pendiente
POL-0035,CUST-054,Vehiculos,2025-04-16,2026-04-16,75000,pendiente
POL-0036,CUST-075,Vehiculos,2026-01-27,2027-01-27,75000,pendiente
POL-0037,CUST-001,Hogar,2025-06-02,2026-06-02,75000,pendiente
POL-0038,CUST-069,Empresarial,2026-02-14,2027-02-14,18000,pendiente
POL-0039,CUST-029,Hogar,2025-08-12,2026-08-12,120000,al dia
POL-0040,CUST-050,Hogar,2025-12-09,2026-12-09,75000,al dia
POL-0041,CUST-060,Salud,2025-11-15,2026-11-15,5000,pendiente
POL-0042,CUST-076,Empresarial,2025-12-06,2026-12-06,5000,al dia
POL-0043,CUST-083,Vida,2025-03-11,2026-03-11,120000,al dia
POL-0044,CUST-007,Hogar,2025-07-14,2026-07-14,40000,al dia
POL-0045,CUST-059,Hogar,2025-06-22,2026-06-22,75000,al dia
POL-0046,CUST-054,Hogar,2025-02-11,2026-02-11,120000,al dia
POL-0047,CUST-070,Vehiculos,2025-06-29,2026-06-29,18000,al dia
POL-0048,CUST-084,Vehiculos,2026-01-22,2027-01-22,5000,al dia
POL-0049,CUST-026,Vehiculos,2025-11-15,2026-11-15,12000,al dia
POL-0050,CUST-017,Vida,2025-12-09,2026-12-09,8000,al dia
POL-0051,CUST-060,Hogar,2026-01-28,2027-01-28,40000,al dia
POL-0052,CUST-078,Empresarial,2026-01-18,2027-01-18,8000,al dia
POL-0053,CUST-040,Vehiculos,2025-10-24,2026-10-24,5000,al dia
POL-0054,CUST-074,Vida,2025-07-23,2026-07-23,18000,al dia
POL-0055,CUST-076,Salud,2025-02-22,2026-02-22,25000,al dia
POL-0056,CUST-073,Vehiculos,2025-06-27,2026-06-27,75000,al dia
POL-0057,CUST-009,Empresarial,2025-11-28,2026-11-28,40000,al dia
POL-0058,CUST-054,Vida,2025-02-24,2026-02-24,75000,al dia
POL-0059,CUST-082,Vida,2025-12-29,2026-12-29,12000,pendiente
POL-0060,CUST-023,Empresarial,2025-11-30,2026-11-30,25000,pendiente
POL-0061,CUST-060,Vida,2026-01-10,2027-01-10,25000,al dia
POL-0062,CUST-032,Vehiculos,2025-05-23,2026-05-23,120000,al dia
POL-0063,CUST-060,Empresarial,2025-11-09,2026-11-09,75000,al dia
POL-0064,CUST-004,Vida,2025-06-16,2026-06-16,12000,pendiente
POL-0065,CUST-028,Hogar,2026-02-13,2027-02-13,25000,al dia
POL-0066,CUST-036,Empresarial,2025-12-26,2026-12-26,25000,al dia
POL-0067,CUST-067,Salud,2025-02-13,2026-02-13,18000,pendiente
POL-0068,CUST-063,Empresarial,2026-01-24,2027-01-24,18000,pendiente
POL-0069,CUST-083,Vida,2025-08-18,2026-08-18,5000,al dia
POL-0070,CUST-038,Salud,2025-07-27,2026-07-27,18000,al dia
POL-0071,CUST-085,Empresarial,2025-07-08,2026-07-08,120000,al dia
POL-0072,CUST-055,Empresarial,2025-06-19,2026-06-19,40000,pendiente
POL-0073,CUST-035,Hogar,2025-05-09,2026-05-09,18000,al dia
POL-0074,CUST-025,Hogar,2025-03-03,2026-03-03,12000,al dia
POL-0075,CUST-028,Vida,2025-05-22,2026-05-22,25000,al dia
POL-0076,CUST-025,Hogar,2025-04-27,2026-04-27,40000,al dia
POL-0077,CUST-039,Vehiculos,2025-12-29,2026-12-29,12000,al dia
POL-0078,CUST-006,Vehiculos,2025-10-11,2026-10-11,25000,al dia
POL-0079,CUST-082,Vida,2025-02-22,2026-02-22,5000,al dia
POL-0080,CUST-061,Vida,2025-08-14,2026-08-14,40000,al dia
POL-0081,CUST-007,Hogar,2025-09-02,2026-09-02,8000,al dia
POL-0082,CUST-052,Vida,2025-02-07,2026-02-07,5000,al dia
POL-0083,CUST-020,Empresarial,2025-06-05,2026-06-05,8000,al dia
POL-0084,CUST-016,Empresarial,2026-01-27,2027-01-27,75000,al dia
POL-0085,CUST-067,Vida,2025-08-19,2026-08-19,120000,al dia
POL-0086,CUST-076,Vida,2025-06-06,2026-06-06,5000,al dia
POL-0087,CUST-027,Salud,2025-05-16,2026-05-16,8000,al dia
POL-0088,CUST-031,Salud,2025-10-10,2026-10-10,8000,al dia
POL-0089,CUST-001,Vida,2025-08-19,2026-08-19,120000,al dia
POL-0090,CUST-005,Salud,2025-05-28,2026-05-28,25000,pendiente
POL-0091,CUST-010,Salud,2025-05-16,2026-05-16,18000,pendiente
POL-0092,CUST-015,Empresarial,2025-04-26,2026-04-26,12000,al dia
POL-0093,CUST-019,Vehiculos,2025-01-31,2026-01-31,12000,al dia
POL-0094,CUST-077,Empresarial,2025-05-28,2026-05-28,120000,al dia
POL-0095,CUST-060,Hogar,2025-12-25,2026-12-25,75000,al dia
POL-0096,CUST-065,Empresarial,2025-09-10,2026-09-10,120000,al dia
POL-0097,CUST-077,Vehiculos,2025-08-10,2026-08-10,40000,al dia
POL-0098,CUST-004,Vehiculos,2025-04-28,2026-04-28,5000,al dia
POL-0099,CUST-074,Vehiculos,2026-01-26,2027-01-26,12000,pendiente
POL-0100,CUST-067,Vida,2025-05-23,2026-05-23,12000,pendiente
POL-0101,CUST-082,Vida,2025-02-16,2026-02-16,120000,al dia
POL-0102,CUST-053,Hogar,2025-06-14,2026-06-14,8000,al dia
POL-0103,CUST-043,Vida,2025-12-22,2026-12-22,120000,al dia
POL-0104,CUST-085,Vida,2026-01-25,2027-01-25,5000,pendiente
