claim_id;policy_id;customer_id;anonymous_customer;vehicle_id;provider_id;line;coverage;city;claim_date;report_date;claim_amount;narrative;recent_customer_change
CLM-0186;POL-0040;CUST-050;Asegurado-050;;PRV-001;Hogar;Choque parcial;Manta;2026-01-02;2026-01-12;57957.27;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0187;POL-0009;CUST-041;Asegurado-041;;PRV-010;Vida;Gastos medicos;Machala;2026-11-02;2026-11-14;5328.74;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0188;POL-0115;CUST-071;Asegurado-071;;PRV-005;Salud;Danos a maquinaria;Loja;2025-12-14;2025-12-26;16160.96;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0189;POL-0076;CUST-025;Asegurado-025;;PRV-010;Hogar;Perdida total por robo;Machala;2026-04-18;2026-05-07;37664.46;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;True
CLM-0190;POL-0072;CUST-055;Asegurado-055;;PRV-009;Empresarial;Choque parcial;Santo Domingo;2025-09-30;2025-10-09;27070.35;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;True
CLM-0191;POL-0103;CUST-043;Asegurado-043;;PRV-008;Vida;Gastos medicos;Ambato;2026-05-10;2026-05-29;94418.55;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;True
CLM-0192;POL-0047;CUST-070;Asegurado-070;VEH-074;PRV-008;Vehiculos;Danos a maquinaria;Ambato;2025-07-08;2025-07-17;11229.96;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;True
CLM-0193;POL-0043;CUST-083;Asegurado-083;;PRV-005;Vida;Choque parcial;Cuenca;2025-10-01;2025-10-10;89151.52;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0194;POL-0126;CUST-053;Asegurado-053;;PRV-005;Salud;Gastos medicos;Ambato;2025-05-18;2025-06-08;105267.34;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0195;POL-0077;CUST-039;Asegurado-039;VEH-016;PRV-006;Vehiculos;Robo domiciliario;Santo Domingo;2026-01-11;2026-01-26;8789.74;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0196;POL-0042;CUST-076;Asegurado-076;;PRV-006;Empresarial;Choque parcial;Loja;2026-11-18;2026-11-27;3949.94;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0197;POL-0049;CUST-026;Asegurado-026;VEH-062;PRV-006;Vehiculos;Gastos medicos;Cuenca;2026-11-06;2026-11-18;7925.1;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0198;POL-0006;CUST-009;Asegurado-009;;PRV-008;Hogar;Robo domiciliario;Ambato;2025-07-22;2025-08-08;59992.49;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;True
CLM-0199;POL-0115;CUST-071;Asegurado-071;;PRV-002;Salud;Perdida total por robo;Loja;2026-05-19;2026-06-08;13173.11;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;True
CLM-0200;POL-0028;CUST-079;Asegurado-079;;PRV-001;Empresarial;Gastos medicos;Manta;2026-07-24;2026-08-06;97459.04;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;True
CLM-0201;POL-0124;CUST-065;Asegurado-065;;PRV-008;Empresarial;Perdida total por robo;Cuenca;2025-06-22;2025-07-08;6846.84;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0202;POL-0034;CUST-009;Asegurado-009;;PRV-001;Vida;Choque parcial;Ambato;2025-08-06;2025-08-23;35745.73;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0203;POL-0122;CUST-053;Asegurado-053;VEH-066;PRV-010;Vehiculos;Robo domiciliario;Ambato;2026-03-11;2026-03-22;91694.43;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;True
CLM-0204;POL-0020;CUST-022;Asegurado-022;VEH-054;PRV-007;Vehiculos;Gastos medicos;Santo Domingo;2025-06-01;2025-06-22;30543.43;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0205;POL-0071;CUST-085;Asegurado-085;;PRV-004;Empresarial;Robo domiciliario;Cuenca;2026-06-20;2026-07-07;81054.46;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0206;POL-0089;CUST-001;Asegurado-001;;PRV-004;Vida;Robo domiciliario;Guayaquil;2025-08-26;2025-09-16;95292.69;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0207;POL-0052;CUST-078;Asegurado-078;;PRV-001;Empresarial;Danos a maquinaria;Guayaquil;2026-02-11;2026-03-04;5857.2;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0208;POL-0081;CUST-007;Asegurado-007;;PRV-010;Hogar;Perdida total por robo;Quito;2026-08-27;2026-09-14;5305.07;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0209;POL-0028;CUST-079;Asegurado-079;;PRV-008;Empresarial;Perdida total por robo;Manta;2026-07-29;2026-08-15;110219.77;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0210;POL-0055;CUST-076;Asegurado-076;;PRV-010;Salud;Danos a maquinaria;Loja;2025-05-08;2025-05-24;16747.18;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0211;POL-0053;CUST-040;Asegurado-040;VEH-014;PRV-001;Vehiculos;Gastos medicos;Cuenca;2026-10-09;2026-10-23;3954.03;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;True
CLM-0212;POL-0059;CUST-082;Asegurado-082;;PRV-009;Vida;Choque parcial;Loja;2026-12-19;2027-01-01;9316.24;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0213;POL-0119;CUST-058;Asegurado-058;;PRV-001;Empresarial;Robo domiciliario;Santo Domingo;2026-01-05;2026-01-23;34203.46;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0214;POL-0061;CUST-060;Asegurado-060;;PRV-008;Vida;Choque parcial;Machala;2026-02-04;2026-02-19;19016.14;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;True
CLM-0215;POL-0072;CUST-055;Asegurado-055;;PRV-006;Empresarial;Danos a maquinaria;Santo Domingo;2026-01-01;2026-01-18;33703.99;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
